Date,Symbol,Open,High,Low,Last,Close
2020-03-30,Reliance,1040.6,1074.8,1020,1031.5,1030.45
2020-03-31,Reliance,1073.95,1129.8,1048,1100,1113.75
2020-04-01,Reliance,1122.25,1124.6,1045.2,1084,1080.45
2020-04-03,Reliance,1134.45,1134.45,1056.3,1088,1077.45
2020-04-07,Reliance,1102.1,1214,1100,1211,1206.1
2020-04-08,Reliance,1180,1229,1160,1197,1192.15
2020-04-09,Reliance,1214,1232.8,1193,1217.75,1219.95
2020-04-13,Reliance,1203.95,1215,1180,1192.5,1189.15
2020-04-15,Reliance,1197.05,1236,1143,1157.5,1149.85
2020-04-16,Reliance,1149.85,1187.45,1145,1170,1168.05
2020-04-17,Reliance,1216,1230,1192.65,1229.9,1224
2020-04-20,Reliance,1226,1257,1202,1248.1,1243.8
2020-04-21,Reliance,1210,1252,1164,1251.5,1237.35
